Name,Sockets,Radiator,Price
ARCTIC Alpine 17 CO,1700,mm,12.99
ARCTIC Alpine 17 LP,1700,mm,11.99
Arctic Alpine 64 GT  - 80mm,"754, 939, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+",NULL,11.99
Arctic Alpine 64 plus  - 92mm,"939, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+",NULL,11.99
Arctic Alpine 64 Pro Rev.2  - 92mm,"939, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+",NULL,17.98
Arctic Alpine AM4  - 92mm,AM4,NULL,11.86
"Arctic Alpine AM4 passiver , black",AM4,NULL,20.72
Arctic Alpine M1 aktiv,AM1,NULL,11.99
Arctic Alpine M1 passiv,AM1,NULL,NULL
ARCTIC COOLING ACALP11-PRO-R2 92mm Fluid Dynamic Alpine 11 Pro Rev. 2  for Intel,"775 , 1155 , 1156 , 1150",NULL,NULL
ARCTIC COOLING ACALP64 Pro 92mm,"AM3, AM2+, AM2, 939, 754",NULL,NULL
ARCTIC COOLING ACALP64-GT 80mm Alpine 64 GT,"FM2,FM1,AM3,AM2, 1150,2011,1366,1156,1155,775",NULL,NULL
ARCTIC COOLING ACFZ11-LP 92mm Fluid Dynamic Freezer 11 LP Intel  for Power Users,"1150,1155,1156,775",NULL,NULL
ARCTIC COOLING ACFZ13 92mm High Performance  for Intel and AMD,"754 , 939 , AM2 , AM2+ , AM3,   1150 ,  775 ,   1155 ,  1156 ,  1366",NULL,NULL
ARCTIC COOLING Alpine M1 80mm Fluid Dynamic,AM1,NULL,12.99
ARCTIC COOLING Freezer 7 Pro Rev.2 92mm Fluid Dynamic,"1150 ,  1366 ,  1156 ,  1155 ,  775, AM3 , AM2+ , AM2 , 939 , 754",NULL,26.3
ARCTIC COOLING Freezer A32 120mm Fluid Dynamic  with 120 mm Fan for AMD with New Fan Controller Made in Germany and PWM PST,"FM2, FM1, AM3, AM2",NULL,55.12
ARCTIC COOLING Freezer i32 120mm Fluid Dynamic  with 120 mm Fan for Intel with New Fan Controller Made in Germany and PWM PST,"2011, 1150, 1151, 1155, 1156",NULL,53.99
"ARCTIC COOLING Freezer i32 CO 120mm Dual Ball Bearing  with 120 mm PWM PST, Dual Ball Bearing for Continuous Operation","2011, 1150, 1151, 1155, 1156",NULL,53.99
ARCTIC COOLING UCACO-FA11001-CSA01 92mm,"AM2, AM2+, AM3, AM3+, FM1, FM2",NULL,NULL
ARCTIC COOLING UCACO-FI11001-CSA01 92mm,"2011 ,  1150 , 1155 , 1156",NULL,NULL
ARCTIC COOLING UCACO-P0900-CSB01 120mm Fluid Dynamic Bearing,"1366 , 1156 , 1155 , 775, FM1 , AM3+ , AM3 , AM2+ , AM2 , 939 , 754",NULL,NULL
Arctic Freezer 11 LP  - 92mm,"1150, 1151, 1155, 1156, 775",NULL,68.0
Arctic Freezer 12  - 92mm,"1150, 1151, 1155, 1156, 2011, 2011-V3, 2066, AM4",NULL,68.0
Arctic Freezer 12 CO  - 92mm,"1150, 1151, 1155, 1156, 2011, 2011-V3, 2066, AM4",NULL,39.35
Arctic Freezer 13  - 92mm,"1150, 1151, 1155, 1156, 1366, 754, 775, 939, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+",NULL,37.71
Arctic Freezer 13 Continuous Operation  - 92mm,"1150, 1151, 1155, 1156, 1366, 754, 775, 939, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+",NULL,NULL
"Arctic Freezer 33 eSports One , white - 120mm","1150, 1151, 1155, 1156, 2011, 2011-V3, 2066, AM4",NULL,90.0
"Arctic Freezer 33 TR , red - 120mm","2011, 2011-V3, 2066, AM4, TR4",NULL,37.71
"Arctic Freezer 33 TR , white - 120mm","2011, 2011-V3, 2066, AM4, TR4",NULL,39.64
Arctic Freezer 34 CO  - 120mm,"1150, 1151, 1155, 1156, 2011, 2011-V3, 2066, AM4",NULL,39.35
Arctic Freezer 34 eSports,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, 775, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+, 1700",NULL,90.0
"Arctic Freezer 34 eSports , 120mm - red","1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, 775, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+, 1700",NULL,90.0
"Arctic Freezer 34 eSports , 120mm - white","1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, 775, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+, 1700",NULL,90.0
ARCTIC Freezer 36,"Intel LGA1851,1700,AM4,AM5",mm,37.71
ARCTIC Freezer 36 A-RGB,"Intel LGA1851,1700,AM4,AM5",mm,49.19
ARCTIC Freezer 36 A-RGB,"Intel LGA1851,1700,AM4,AM5",mm,49.19
ARCTIC Freezer 36 CO,"Intel LGA1851,1700,AM4,AM5",mm,39.35
ARCTIC Freezer 4U-M Ampere,"4189,4677,4710,SP6,TR4,TR5,sTRX4,sWRX8",mm,52.42
ARCTIC Freezer 4U-M Rev. 2,"4189,4677,4710,SP6,TR4,TR5,sTRX4,sWRX8",mm,49.19
ARCTIC Freezer 4U-SP5,SP5,mm,19.98
Arctic Freezer 50 ARGB - 120mm/140mm,"1200, 1150, 1151, 1155, 1156, 2011-V3, 2011, 2066, AM4",NULL,81.53
"Arctic Freezer 50 TR - ARGB, 120mm/140mm","TR4, sTRX4",NULL,188.13
Arctic Freezer 7 Pro PWM Rev.2  - 92mm,"1150, 1151, 1155, 1156, 1366, 775, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+",NULL,19.98
Arctic Freezer 7X  - 92mm,"1150, 1151, 1155, 1156, 775, AM4, AM3+, AM3, FM2+, FM2, FM1",NULL,19.98
ARCTIC Freezer 8A,"AM4,AM5",mm,52.42
ARCTIC Freezer 8A CO,"AM4,AM5",mm,55.12
ARCTIC Freezer 8i,"1700,1851",mm,45.63
ARCTIC Freezer 8i CO,"1700,1851",mm,45.41
Arctic Freezer A13X,AM4,NULL,81.53
Arctic Freezer A13X CO,AM4,NULL,115.52
ARCTIC Freezer A35,"AM4,AM5",mm,81.53
Arctic Freezer A35 ARGB,"AM5, AM4",NULL,81.53
Arctic Freezer i11 CO,"1150, 1151, 1155, 1156, 2011, 2011-V3",NULL,53.99
