Name,Size,Watt,Price
be quiet! Pure Power 10 CM,ATX,400W,14118.66
be quiet! Pure Power 10 CM,ATX,500W,14118.66
be quiet! Pure Power 11 FM,ATX,650W,14118.66
be quiet! Pure Power 11 FM,ATX,550W,14118.66
be quiet! Pure Power 11 FM,ATX,750W,14118.66
be quiet! Pure Power 11 FM 1000W,ATX,1000W,14118.66
be quiet! Pure Power 11 FM 850W,ATX,850W,14118.66
be quiet! PURE POWER 12 1000W,ATX,1000W,12954.67
be quiet! PURE POWER 12 550W,ATX,550W,10691.55
be quiet! PURE POWER 12 650W,ATX,650W,10691.55
be quiet! PURE POWER 12 750W,ATX,750W,10691.55
be quiet! PURE POWER 12 850W,ATX,850W,10691.55
be quiet! Pure Power 12 M,ATX,850W,14118.66
be quiet! Pure Power 12 M,ATX,650W,14118.66
be quiet! Pure Power 12 M,ATX,550W,14118.66
be quiet! Pure Power 12 M,ATX,1000W,14118.66
be quiet! Pure Power 12 M,ATX,750W,14118.66
be quiet! PURE POWER 12 M | 1200W,ATX,1200W,14118.66
be quiet! Pure Power 13 M | 1000W,ATX,1000W,13138.74
be quiet! Pure Power 13 M | 550W,ATX,550W,13138.74
be quiet! Pure Power 13 M | 650W,ATX,650W,13138.74
be quiet! Pure Power 13 M | 750W,ATX,750W,13138.74
be quiet! Pure Power 13 M | 850W,ATX,850W,13138.74
be quiet! SFX Power 2 80 PLUS Bronze,SFX,300W,14020.49
be quiet! SFX Power 2 80 PLUS Bronze,SFX,400W,14020.49
be quiet! SFX Power 3,SFX,300W,15642.02
be quiet! SFX Power 3,SFX,450W,15642.02
be quiet! SFX-L Power,SFX-L,600W,14020.49
be quiet! SFX-L Power,SFX-L,500W,14020.49
be quiet! SFX-L Power 80 PLUS Gold,SFX-L,500W,14020.49
be quiet! SFX-L Power 80 PLUS Gold,SFX-L,600W,14020.49
be quiet! Straight Power 10,ATX,700W,17090.87
be quiet! Straight Power 10,ATX,600W,17090.87
be quiet! Straight Power 10,ATX,500W,17090.87
be quiet! Straight Power 10,ATX,400W,17090.87
be quiet! Straight Power 10 CM,ATX,600W,17090.87
be quiet! Straight Power 10 CM,ATX,700W,17090.87
be quiet! Straight Power 10 CM,ATX,800W,17090.87
be quiet! Straight Power 10 CM,ATX,500W,17090.87
be quiet! Straight Power 11,ATX,850W,17090.87
be quiet! Straight Power 11,ATX,1200W,17090.87
be quiet! Straight Power 11,ATX,1000W,17090.87
be quiet! Straight Power 11,ATX,750W,17090.87
be quiet! Straight Power 11,ATX,650W,17090.87
be quiet! Straight Power 11,ATX,550W,17090.87
"be quiet! Straight Power 11, 80 PLUS Gold",ATX,450W,17090.87
"be quiet! Straight Power 11, 80 PLUS Gold",ATX,650W,17090.87
"be quiet! Straight Power 11, 80 PLUS Gold",ATX,550W,17090.87
"be quiet! Straight Power 11, 80 PLUS Gold",ATX,750W,17090.87
be quiet! Straight Power 12,ATX,750W,17090.87
be quiet! Straight Power 12,ATX,1200W,17090.87
be quiet! System Power 10,ATX,650W,23753.15
be quiet! System Power 10,ATX,450W,23753.15
be quiet! System Power 10,ATX,750W,23753.15
be quiet! System Power 10,ATX,850W,23753.15
be quiet! System Power 11 450W,ATX,450W,23753.15
be quiet! System Power 11 550W,ATX,550W,23753.15
