Name,Size,Bus,Format Type,Price
DELL 345-BFVG,7680 GB,SATA,SATAProtocol,NULL
DELL 345-BFVM,1600 GB,SATA,SATAProtocol,NULL
DELL 345-BFVY,7680 GB,SATA,SATAProtocol,NULL
DELL 345-BFWG,800 GB,SATA,SATAProtocol,NULL
DELL 345-BFWP,800 GB,SATA,SATAProtocol,NULL
DELL 345-BFWQ,1920 GB,SATA,SATAProtocol,NULL
DELL 345-BFYF,800 GB,SATA,SATAProtocol,NULL
DELL 345-BFYL,1920 GB,SATA,SATAProtocol,NULL
DELL 345-BFYM,7680 GB,SATA,SATAProtocol,NULL
DELL 345-BFYW,7680 GB,SATA,SATAProtocol,NULL
DELL 345-BFYY,1920 GB,SATA,SATAProtocol,NULL
DELL 345-BFZC,1600 GB,SATA,SATAProtocol,NULL
DELL 345-BFZM,1920 GB,SATA,SATAProtocol,NULL
DELL 345-BGCX,3840 GB,SATA,SATAProtocol,NULL
DELL 345-BGHD,1920 GB,SATA,SATAProtocol,NULL
DELL 345-BGHX,1920 GB,SATA,SATAProtocol,NULL
DELL 345-BGJW,3840 GB,SATA,SATAProtocol,NULL
DELL 345-BGMF,1600 GB,SATA,SATAProtocol,NULL
DELL 345-BGNK,1600 GB,SATA,SATAProtocol,NULL
DELL 345-BGPB,800 GB,SATA,SATAProtocol,NULL
DELL 345-BGPN,1600 GB,SATA,SATAProtocol,NULL
DELL 345-BGPV,1600 GB,SATA,SATAProtocol,NULL
DELL 345-BGSJ,480 GB,SATA,SATAProtocol,NULL
DELL 345-BGSQ,960 GB,SATA,SATAProtocol,NULL
DELL 345-BGSY,960 GB,SATA,SATAProtocol,NULL
DELL 345-BGTF,480 GB,SATA,SATAProtocol,NULL
DELL 345-BGVL,960 GB,SATA,SATAProtocol,NULL
DELL 345-BGVN,960 GB,SATA,SATAProtocol,NULL
DELL 345-BGVP,480 GB,SATA,SATAProtocol,NULL
DELL 345-BGVS,480 GB,SATA,SATAProtocol,NULL
DELL 345-BGXT,480 GB,SATA,SATAProtocol,NULL
DELL 345-BHMJ,3840 GB,SATA,SATAProtocol,NULL
DELL 345-BHQL,1600 GB,SATA,SATAProtocol,NULL
DELL 345-BHSH,960 GB,SATA,SATAProtocol,NULL
DELL 345-BHTK,960 GB,SATA,SATAProtocol,NULL
DELL 345-BHTL,3840 GB,SATA,SATAProtocol,NULL
DELL 345-BHTP,1920 GB,SATA,SATAProtocol,NULL
DELL 345-BHTW,960 GB,SATA,SATAProtocol,NULL
DELL 345-BHTY,1920 GB,SATA,SATAProtocol,NULL
DELL 345-BHVZ,1920 GB,SATA,SATAProtocol,NULL
DELL 345-BJPP,960 GB,SATA,SATAProtocol,NULL
DELL 345-BJPR,960 GB,SATA,SATAProtocol,NULL
DELL 345-BJPT,1600 GB,SATA,SATAProtocol,NULL
DELL 345-BJPZ,1920 GB,SATA,SATAProtocol,NULL
DELL 345-BJQN,480 GB,SATA,SATAProtocol,NULL
DELL 345-BJQQ,800 GB,SATA,SATAProtocol,NULL
DELL 345-BJQT,480 GB,SATA,SATAProtocol,NULL
DELL 345-BJQZ,480 GB,SATA,SATAProtocol,NULL
DELL 345-BJRF,1600 GB,SATA,SATAProtocol,NULL
DELL 345-BJRL,800 GB,SATA,SATAProtocol,NULL
DELL 345-BJRX,800 GB,SATA,SATAProtocol,NULL
DELL 345-BJSD,1600 GB,SATA,SATAProtocol,NULL
DELL 345-BJSM,480 GB,SATA,SATAProtocol,NULL
DELL 345-BJSQ,1920 GB,SATA,SATAProtocol,NULL
DELL 345-BJSW,800 GB,SATA,SATAProtocol,NULL
DELL 345-BJSZ,960 GB,SATA,SATAProtocol,NULL
DELL 345-BJTH,1920 GB,SATA,SATAProtocol,NULL
DELL 345-BJTY,960 GB,SATA,SATAProtocol,NULL
DELL 345-BJTZ,1600 GB,SATA,SATAProtocol,NULL
DELL 345-BJVD,1920 GB,SATA,SATAProtocol,NULL
DELL 400-AXRJ,480 GB,SATA,SATAProtocol,NULL
DELL 400-BKFL,1920 GB,NVM,NVMProtocol,NULL
DELL 400-BPWV,960 GB,NVM,NVMProtocol,NULL
DELL 400-BPWX,960 GB,NVM,NVMProtocol,NULL
DELL 400-BPXB,480 GB,NVM,NVMProtocol,NULL
DELL 400-BPXC,480 GB,NVM,NVMProtocol,NULL
DELL AC037408,512 GB,NVM,NVMProtocol,NULL
DELL AC037409,1000 GB,NVM,NVMProtocol,NULL
DELL AC037410,2000 GB,NVM,NVMProtocol,NULL
DELL AC037411,4000 GB,NVM,NVMProtocol,NULL
DELL AC280177,256 GB,NVM,NVMProtocol,NULL
DELL AC280178,512 GB,NVM,NVMProtocol,NULL
DELL AC280179,1000 GB,NVM,NVMProtocol,NULL
DELL AC676115,1000 GB,NVM,NVMProtocol,NULL
DELL AD061580,1000 GB,NVM,NVMProtocol,NULL
DELL AD099078,2000 GB,NVM,NVMProtocol,NULL
DELL SNP112233P/1TB,1000 GB,NVM,NVMProtocol,NULL
DELL SNP223G43/1TB,1000 GB,NVM,NVMProtocol,NULL
DELL SNP223G43/256G,256 GB,NVM,NVMProtocol,NULL
DELL SNP223G43/512G,512 GB,NVM,NVMProtocol,NULL
DELL SNP228G44/1TB,1000 GB,NVM,NVMProtocol,NULL
DELL SNP228G44/2TB,2000 GB,NVM,NVMProtocol,NULL
DELL SNP228G44/512G,512 GB,NVM,NVMProtocol,NULL
Fujitsu FPCSSI28BP,1000 GB,NVM,NVMProtocol,NULL
Fujitsu PY-BS48PEA,480 GB,NVM,NVMProtocol,NULL
Fujitsu PY-BS96PEA,960 GB,NVM,NVMProtocol,NULL
Fujitsu PY-E140PE,4000 GB,NVM,NVMProtocol,NULL
Fujitsu PY-SS19NMF,1920 GB,SATA,SATAProtocol,NULL
Fujitsu PY-SS19NQ,1920 GB,SATA,SATAProtocol,NULL
Fujitsu PY-SS38NMF,3840 GB,SATA,SATAProtocol,NULL
Fujitsu PY-SS38NQ,3840 GB,SATA,SATAProtocol,NULL
Fujitsu PY-SS48NMF,480 GB,SATA,SATAProtocol,NULL
Fujitsu PY-SS48NQ,480 GB,SATA,SATAProtocol,NULL
Fujitsu PY-SS96NMF,960 GB,SATA,SATAProtocol,NULL
Fujitsu PY-SS96NQ,960 GB,SATA,SATAProtocol,NULL
Fujitsu S26361-F5938-L960,960 GB,SATA,SATAProtocol,NULL
Gigabyte,512 GB,NVM,NVMProtocol,NULL
Gigabyte 1000 GB,1000 GB,SATA,SATAProtocol,20077.11
Gigabyte 1000 GB,1000 GB,NVM,NVMProtocol,20077.11
Gigabyte 120 GB,120 GB,SATA,SATAProtocol,20077.11
Gigabyte 128 GB,128 GB,NVM,NVMProtocol,20077.11
Gigabyte 240 GB,240 GB,SATA,SATAProtocol,20077.11
Gigabyte 256 GB,256 GB,SATA,SATAProtocol,20077.11
Gigabyte 256 GB,256 GB,NVM,NVMProtocol,20077.11
