Name,Size,Watt,Price
ASUS ROG Loki SFX-L 850W Platinum,SFX,850W,
ASUS ROG Loki SFX-L 850W Platinum White,SFX-L,850W,
ASUS ROG LOKI SFX-L 850W Platinum White Edition,SFX-L,850W,
ASUS ROG Strix 1000G,ATX,1000W,
ASUS ROG STRIX 1000W Gold (16-pin cable),ATX,1000W,
ASUS ROG Strix 1000W Gold Aura Edition,ATX,1000W,
ASUS ROG STRIX 1200W Gold Aura Edition,ATX,1200W,
ASUS ROG Strix 550G 80 PLUS Gold,ATX,550W,
ASUS ROG Strix 650G 80 PLUS Gold,ATX,650W,
ASUS ROG Strix 750G 80 PLUS Gold,ATX,750W,
ASUS ROG STRIX 750W GOLD (16-pin cable),ATX,750W,
ASUS ROG Strix 750W Gold Aura Edition,ATX,750W,
ASUS ROG Strix 850W Gold Aura Edition,ATX,850W,
ASUS ROG STRIX-1000P-GAMING,ATX,1000W,
ASUS ROG THOR 1000P2-GAMING,ATX,1000W,
ASUS ROG THOR 1000W Platinum II EVA Edition,ATX,1000W,
ASUS ROG THOR 1200W Platinum II,ATX,1200W,
ASUS ROG THOR 1600W Titanium,ATX,1600W,
ASUS ROG Thor 80 PLUS Platinum,ATX,850W,
ASUS ROG Thor 80 PLUS Platinum,ATX,1200W,
ASUS ROG Thor 850W Platinum II,ATX,850W,
ASUS ROG-THOR-1000P2-EVA-GAMING,ATX,1000W,
ASUS ROG-THOR-1600T-GAMING,ATX,1600W,
ASUS TUF Gaming 1000W Gold,ATX,1000W,
ASUS TUF Gaming 1000W Gold,ATX,1000W,
ASUS TUF Gaming 1000W Gold White Edition,ATX,1000W,
ASUS TUF GAMING 1200W Gold,ATX,1200W,
ASUS TUF Gaming 650B 80 PLUS Bronze,ATX,650W,
ASUS TUF Gaming 750W Gold,ATX,750W,
ASUS TUF Gaming 850W Gold,ATX,850W,
ASUS TUF-GAMING-1200G,ATX,1200W,
ASUS TUF-GAMING-750G,ATX,750W,
ASUS TUF-GAMING-850G,ATX,850W,
be quiet! BN337,ATX,850W,
be quiet! BN338,ATX,1000W,
be quiet! BN340,ATX,1500W,
be quiet! Dark Power 12,ATX,1000W,
be quiet! Dark Power 12,ATX,850W,
be quiet! Dark Power 12,ATX,750W,
be quiet! Dark Power 13,ATX,850W,
be quiet! Dark Power 13,ATX,750W,
be quiet! Dark Power 13,ATX,1000W,
be quiet! Dark Power Pro 12,ATX,1200W,
be quiet! Dark Power Pro 12,ATX,1500W,
be quiet! Dark Power Pro 13 | 1300W,ATX,1300W,
be quiet! Dark Power Pro 13 | 1600W,ATX,1600W,
be quiet! Dark Power Pro P11 modular,ATX,650W,
be quiet! Dark Power Pro P11 modular,ATX,550W,
be quiet! Power Zone,ATX,1000W,
be quiet! Power Zone,ATX,850W,
be quiet! POWER ZONE 2 1000W,ATX,1000W,
be quiet! POWER ZONE 2 750W,ATX,750W,
be quiet! POWER ZONE 2 850W,ATX,850W,
"be quiet! Power Zone, 80 PLUS Bronze",ATX,650W,
"be quiet! Power Zone, 80 PLUS Bronze",ATX,750W,
be quiet! Pure Power 10,ATX,700W,
be quiet! Pure Power 10,ATX,600W,
be quiet! Pure Power 10,ATX,400W,
be quiet! Pure Power 10,ATX,350W,
be quiet! Pure Power 10,ATX,300W,
be quiet! Pure Power 10,ATX,500W,
be quiet! Pure Power 10 CM,ATX,700W,
be quiet! Pure Power 10 CM,ATX,600W,
be quiet! Pure Power 10 CM,ATX,400W,
be quiet! Pure Power 10 CM,ATX,500W,
be quiet! Pure Power 11 FM,ATX,650W,
be quiet! Pure Power 11 FM,ATX,550W,
be quiet! Pure Power 11 FM,ATX,750W,
be quiet! Pure Power 11 FM 1000W,ATX,1000W,
be quiet! Pure Power 11 FM 850W,ATX,850W,
be quiet! PURE POWER 12 1000W,ATX,1000W,
be quiet! PURE POWER 12 550W,ATX,550W,
be quiet! PURE POWER 12 650W,ATX,650W,
be quiet! PURE POWER 12 750W,ATX,750W,
be quiet! PURE POWER 12 850W,ATX,850W,
be quiet! Pure Power 12 M,ATX,850W,
be quiet! Pure Power 12 M,ATX,650W,
be quiet! Pure Power 12 M,ATX,550W,
be quiet! Pure Power 12 M,ATX,1000W,
be quiet! Pure Power 12 M,ATX,750W,
be quiet! PURE POWER 12 M | 1200W,ATX,1200W,
be quiet! Pure Power 13 M | 1000W,ATX,1000W,
